nom du fichier	tadarida_taxon	temps_debut	temps_fin	frequence_mediane	tadarida_probabilite	tadarida_taxon_autre	observateur_taxon	observateur_probabilite	validateur_taxon	validateur_probabilite	participation	amph	Antius	Antped	Antsor	Aposp	Barbar	Barfis	Barsan	Barser	Bicbic	chirp	Cicatr	Cicorn	Concon	Confus	Corcho	criq	Cympud	Cyrscu	Decalb	Epheph	Eptnil	Eptser	Eupsp	gril	Hypsav	Insp11	Insp12	Inssp5	Inssp6	Inssp7	Inssp8	Inssp9	Isopyr	Lamsp.	Leppun	Lyrple	mamm	Metsau	Micagr	Minsch	Mussp	Myoalc	Myobec	Myobra	Myocap	Myodas	Myodau	Myoema	MyoGT	Myomys	Myonat	noise	Nyclas	Nyclei	Nycnoc	Ortsp.	Phafal	Phanan	Phofem	Phogri	piaf	Pipkuh	Pipnat	Pippip	Pippyg	Plaaff	Plaalb	Plafal	Plaint	Plasab	Pleaur	Pleaus	Plemac	Ptebon	Ptecor	Pteger	Ptepon	Ratnor	Rhieur	Rhifer	Rhihip	Roeroe	Rusnit	Sepsep	Tadten	Testes	Tetcan	Tetpyg	Tetvir	Thycor	Tyllil	Urobre	Urorug	Vesmur	Yerbey	Yerray	Zeuabb	ProbEsp_C2bs	IdScore	IdProb	IdV	ConfV	Session	TimeNum	IdExtrap	TypeE
Cir750008-2008-Pass2-Tron1-Chiro_0_00000_000	noise	0.4	0.5	111	0.632	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0	0	0.002	0.002	0.736	0	0	0.004	0	0	0.002	0.002	0.044	0.016	0.01	0.004	0.022	0.012	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.01	0.002	0	0.008	0	0	0.036	0	0	0	0.006	0	0	0.004	0	noise	0.736	0.989679364072511	NA	NA	1	800	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00004_998	noise	0.4	0.5	111	0.66	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0	0	0.002	0.002	0.732	0	0	0.004	0	0	0.002	0.002	0.046	0.016	0.01	0.006	0.022	0.01	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.01	0.002	0	0.008	0	0	0.038	0	0	0	0.006	0	0	0.004	0	noise	0.732	0.989236116078492	NA	NA	1	804.998	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00009_996	noise	0.4	0.5	111	0.67	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.004	0	0	0.002	0.002	0.724	0	0	0.004	0	0	0.002	0.002	0.046	0.016	0.01	0.006	0.022	0.01	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.014	0.002	0	0.008	0	0	0.04	0	0	0	0.006	0	0	0.004	0	noise	0.724	0.988292378176017	NA	NA	1	809.996	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00014_994	noise	0.3	0.5	91	0.63	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.002	0	0.002	0.002	0.002	0.004	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0.036	0	0	0	0	0.002	0.002	0.006	0	0	0.002	0	0.002	0.002	0	0.004	0.002	0.694	0	0	0.004	0	0.002	0.002	0.002	0.058	0.016	0.012	0.006	0.024	0.018	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.002	0	0.002	0	0.01	0.004	0.002	0.006	0	0	0.04	0	0	0	0.006	0	0	0.006	0	noise	0.694	0.983967827437332	NA	NA	1	814.994	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00019_992	noise	0.4	0.5	111	0.452	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0.002	0.042	0	0	0	0.002	0	0	0.008	0	0	0.002	0	0.004	0	0	0.006	0.002	0.72	0	0	0.004	0	0	0.002	0.002	0.044	0.016	0.016	0.004	0.02	0.01	0	0	0	0	0	0.002	0	0	0	0.002	0	0	0	0	0	0.018	0.002	0.008	0	0	0.006	0	0	0.032	0	0	0	0.004	0	0	0.004	0	noise	0.72	0.987790297162611	NA	NA	1	819.992	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00024_990	noise	0.4	0.5	111	0.644	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0	0	0.002	0.002	0.736	0	0	0.004	0	0	0.002	0.002	0.044	0.016	0.01	0.004	0.022	0.012	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.01	0.002	0	0.008	0	0	0.036	0	0	0	0.006	0	0	0.004	0	noise	0.736	0.989679364072511	NA	NA	1	824.99	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00029_989	noise	0.3	0.5	9	0.634	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.006	0.002	0.006	0.004	0	0	0.002	0.012	0.006	0	0.002	0	0	0	0	0	0	0.002	0.04	0	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.56	0.002	0	0.014	0	0.006	0.02	0.006	0.076	0.054	0.004	0.004	0.022	0.006	0	0	0	0.002	0	0	0	0.012	0	0	0	0	0	0	0	0	0.008	0.008	0.006	0.018	0.01	0	0	0.052	0	0.002	0	0	0	0	0.002	0	noise	0.56	0.936628818481167	NA	NA	1	829.989	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00034_987	noise	0.4	0.5	111	0.646	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0	0	0.002	0.002	0.736	0	0	0.004	0	0	0.002	0.002	0.044	0.016	0.01	0.004	0.022	0.012	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.01	0.002	0	0.008	0	0	0.036	0	0	0	0.006	0	0	0.004	0	noise	0.736	0.989679364072511	NA	NA	1	834.987	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00039_985	noise	0.4	0.5	111	0.688	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.004	0	0	0.002	0.002	0.718	0	0	0.004	0	0	0.002	0.002	0.042	0.018	0.01	0.006	0.03	0.01	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0.014	0	0.014	0.002	0	0.008	0	0	0.038	0	0	0	0.006	0	0	0.004	0	noise	0.718	0.987531340221865	NA	NA	1	839.985	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00044_983	noise	0.4	0.5	111	0.67	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.004	0	0	0.002	0.002	0.724	0	0	0.004	0	0	0.002	0.002	0.046	0.016	0.01	0.006	0.022	0.01	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.014	0	0.014	0.002	0	0.008	0	0	0.04	0	0	0	0.006	0	0	0.004	0	noise	0.724	0.988292378176017	NA	NA	1	844.983	noise	0
Cir750008-2008-Pass2-Tron1-Chiro_0_00049_981	noise	0.4	0.5	111	0.61	NA	NA	NA	NA	NA	58c40dc431015c000ded877c	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0.002	0.038	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0	0	0.002	0.002	0.738	0	0	0.004	0	0	0.002	0.002	0.044	0.016	0.01	0.004	0.02	0.012	0	0	0	0	0	0.004	0	0	0	0.002	0	0	0	0	0	0.014	0	0.01	0.002	0	0.008	0	0	0.034	0	0	0	0.006	0	0	0.004	0	noise	0.738	0.989894166036468	NA	NA	1	849.981	noise	0
